date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2025-12-23,1398,292956.7553287689,240370.31948142123,357047.9810809079,216920.0280067761,395646.66770937946,deaths,russia
2025-12-22,1397,292648.76038865285,240224.2475974396,356514.28553922015,216746.8127535224,395130.7173946272,deaths,russia
2025-12-21,1396,292331.32186688733,240064.71106745006,355977.63130722137,216562.9007167522,394608.7837722557,deaths,russia
2025-12-20,1395,292027.15588237357,239918.8557088315,355453.2180518048,216390.6833930979,394101.4501669768,deaths,russia
2025-12-19,1394,291719.23878578807,239781.99370399292,354906.5197851487,216222.59726732405,393576.5328911348,deaths,russia
2025-12-18,1393,291395.9349011207,239640.31096240005,354329.65795947594,216047.1936093876,393023.464086457,deaths,russia
2025-12-17,1392,291061.8707460765,239470.96089333898,353767.6731948274,215852.3217499007,392476.83238791197,deaths,russia
2025-12-16,1391,290722.0753569309,239281.65177725093,353221.3853235085,215643.96390544885,391939.3158647426,deaths,russia
2025-12-15,1390,290375.3597450281,239082.32394443208,352673.1103139779,215427.70995945326,391397.5003092437,deaths,russia
2025-12-14,1389,290044.944834105,238893.88679339577,352148.393557593,215222.4952899297,390879.5743906829,deaths,russia
2025-12-13,1388,289695.164125958,238666.29359792342,351634.4837595986,214988.69394565007,390361.41126443294,deaths,russia
2025-12-12,1387,289327.21808234125,238400.32422229572,351133.0919461138,214727.14834780377,389844.6940811419,deaths,russia
2025-12-11,1386,288966.58183160017,238122.6743963485,350666.67889437743,214460.85645228607,389356.3004361495,deaths,russia
2025-12-10,1385,288614.1193940171,237858.00334924288,350201.0040017716,214204.49985951968,388871.8965217643,deaths,russia
2025-12-09,1384,288279.8393916878,237608.11834088742,349757.70417153684,213962.01348758236,388411.3122157067,deaths,russia
2025-12-08,1383,287945.58403294033,237352.9820732552,349322.1930326802,213716.47433842698,387956.33474814985,deaths,russia
2025-12-07,1382,287630.02000721724,237109.04459375746,348915.5511110658,213482.87944816484,387530.0413554587,deaths,russia
2025-12-06,1381,287335.2793000703,236877.7808002044,348540.77949411725,213262.70731506,387135.4937077252,deaths,russia
2025-12-05,1380,287045.08128723584,236644.99053390732,348179.2754281534,213042.96693786947,386752.4053419554,deaths,russia
2025-12-04,1379,286759.29831356835,236410.40508048498,347831.126821807,212823.46495412348,386380.7857182135,deaths,russia
2025-12-03,1378,286483.75566855806,236181.8484122827,347498.95169485983,212610.44177230625,386024.9960825355,deaths,russia
2025-12-02,1377,286199.5857107473,235944.55377379118,347158.7015218647,212389.82764347276,385659.7347059626,deaths,russia
2025-12-01,1376,285931.32183669397,235732.31532864054,346820.1826976092,212188.4201901738,385302.4690258978,deaths,russia
2025-11-30,1375,285658.3712010962,235546.32777896355,346431.74147012294,212000.89618121393,384907.38597932016,deaths,russia
2025-11-29,1374,285430.8599501783,235413.83915059565,346074.8759059257,211857.67139088822,384554.34830020205,deaths,russia
2025-11-28,1373,285213.78249114647,235300.53991123106,345715.11647323496,211728.62966340236,384203.683875675,deaths,russia
2025-11-27,1372,285019.2692332952,235239.66093578134,345333.15104224836,211636.5319179579,383846.81457359204,deaths,russia
2025-11-26,1371,284831.82990582555,235200.2635374909,344936.953768143,211558.83998818492,383482.93322555575,deaths,russia
2025-11-25,1370,284644.78261543857,235158.3167648265,344545.50249306334,211479.73859323058,383122.67912906536,deaths,russia
2025-11-24,1369,284438.9132052977,235092.2574918576,344143.8691807669,211381.12591573107,382747.11952373607,deaths,russia
2025-11-23,1368,284207.57368590956,234967.1621488893,343767.1393318857,211240.86055885418,382378.4795322038,deaths,russia
2025-11-22,1367,283920.847656833,234790.38590363855,343332.09564654704,211054.4204763785,381944.41096317256,deaths,russia
2025-11-21,1366,283621.7957894876,234585.4135205814,342908.4886783519,210848.0951989532,381513.17295422335,deaths,russia
2025-11-20,1365,283308.7327248335,234356.8313238307,342485.6007002507,210623.96763384514,381076.47842442413,deaths,russia
2025-11-19,1364,282974.77719039016,234106.70064943205,342043.74316805875,210381.21330269988,380617.28954602015,deaths,russia
2025-11-18,1363,282648.62504674844,233875.5743360002,341593.02963520243,210151.65748132745,380155.22735496634,deaths,russia
2025-11-17,1362,282334.8436158971,233658.68006986342,341151.4467019628,209933.93580470464,379705.0378988879,deaths,russia
2025-11-16,1361,282030.3779128175,233444.8898081645,340727.7999728271,209720.80620532177,379271.58414185856,deaths,russia
2025-11-15,1360,281719.92673536576,233210.42735623315,340319.87071852875,209494.0426050861,378846.6913356099,deaths,russia
2025-11-14,1359,281412.1040748257,232974.10954666132,339920.9803301393,209267.0271661242,378429.3228139525,deaths,russia
2025-11-13,1358,281103.9103776864,232731.62649246465,339530.2177998043,209036.34540255336,378017.5915004435,deaths,russia
2025-11-12,1357,280771.2899758625,232438.45269879812,339154.4372178376,208769.34171840065,377605.86574566516,deaths,russia
2025-11-11,1356,280407.6492551026,232087.84944303447,338787.5332452846,208460.20630543586,377186.92222717404,deaths,russia
2025-11-10,1355,280040.7579673828,231731.30383994975,338421.43303750927,208146.7203803943,376767.1020342788,deaths,russia
2025-11-09,1354,279695.93856168893,231422.2567923426,338039.3366402776,207867.022412702,376345.52896284783,deaths,russia
2025-11-08,1353,279360.70680743287,231148.97970214364,337628.200998974,207610.66444904558,375907.5151317025,deaths,russia
2025-11-07,1352,279026.5868824765,230915.26475187883,337162.0394638691,207377.26843409525,375430.9491100307,deaths,russia
2025-11-06,1351,278675.61765868805,230687.99951592344,336645.8830545215,207142.4362057915,374911.68748048705,deaths,russia
2025-11-05,1350,278349.79543656664,230521.6402774791,336101.7790205352,206949.81787960054,374383.751083987,deaths,russia
2025-11-04,1349,278038.0981887258,230406.42392090074,335517.35650149884,206790.52339189983,373833.5727548733,deaths,russia
2025-11-03,1348,277724.66901390866,230318.14460341595,334889.7863039093,206645.85078583477,373252.3944081095,deaths,russia
2025-11-02,1347,277402.3586198536,230226.46730748145,334245.9998498072,206496.36403999364,372656.1342975064,deaths,russia
2025-11-01,1346,277077.7035049754,230128.99877527662,333605.23629369395,206342.67794206034,372061.24852046533,deaths,russia
2025-10-31,1345,276751.0303910947,230025.80250368104,332968.2267107294,206184.89695689752,371468.4367444412,deaths,russia
2025-10-30,1344,276430.4786847947,229913.82964228807,332359.0046211063,206023.76501336752,370898.2197940578,deaths,russia
2025-10-29,1343,276121.36371920496,229789.3356764235,331795.63636314217,205858.91244841588,370365.4800021336,deaths,russia
2025-10-28,1342,275814.12802680134,229653.0414013029,331254.0396790756,205687.85230422486,369849.02378743305,deaths,russia
2025-10-27,1341,275511.05055936443,229503.4188952456,330741.8842256046,205510.44054555317,369355.2181509471,deaths,russia
2025-10-26,1340,275190.8472979185,229334.4542404902,330216.63251364266,205316.80015452366,368844.70732757496,deaths,russia
2025-10-25,1339,274846.94684337283,229138.1843181222,329673.9253803141,205100.49489425603,368311.41739293624,deaths,russia
2025-10-24,1338,274507.3647199434,228932.8609194922,329154.6995746123,204880.41984487046,367796.4980598769,deaths,russia
2025-10-23,1337,274192.3070243297,228732.0400392751,328687.8773142179,204670.45421228447,367329.165419,deaths,russia
2025-10-22,1336,273864.4211258518,228518.4602868912,328208.6689230672,204449.36694125886,366847.4291372373,deaths,russia
2025-10-21,1335,273527.80944340985,228294.58128969226,327723.3924193031,204219.7917575448,366357.5587725492,deaths,russia
2025-10-20,1334,273187.69858862547,228075.85291568597,327222.43234276836,203991.8849886748,365855.3467838872,deaths,russia
2025-10-19,1333,272862.4591839195,227872.77119047844,326734.74395799584,203777.22464165834,365369.234739714,deaths,russia
2025-10-18,1332,272557.8696705818,227704.67117679064,326246.4865771643,203588.26913479427,364892.3769228584,deaths,russia
2025-10-17,1331,272259.2620629585,227550.40716112353,325752.8209011047,203408.7479569317,364414.65452056855,deaths,russia
2025-10-16,1330,271947.1534524906,227377.69246388346,325253.2397789378,203214.81534188637,363926.59593769006,deaths,russia
2025-10-15,1329,271658.77557277266,227252.27072418033,324777.7081778091,203040.95348975764,363466.1202584573,deaths,russia
2025-10-14,1328,271386.37864126376,227252.27072418033,324336.08966542763,202873.8103533624,363036.38840825006,deaths,russia
2025-10-13,1327,271125.1138052466,227252.27072418033,323938.24866471754,202703.596101966,362641.96723533154,deaths,russia
