date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2025-08-17,1270,1061472.2105167604,1013683.2011160434,1111514.325455262,926602.342975673,1215972.8192768563,casualties,russia
2025-08-16,1269,1059543.2347901412,1012019.867843674,1109298.3703709075,924873.6061943194,1213821.9470571259,casualties,russia
2025-08-15,1268,1057592.9650734158,1010323.3396238082,1107074.2890940635,923120.9675238921,1211653.6557297658,casualties,russia
2025-08-14,1267,1055751.345713894,1008724.3782882375,1104970.8266302687,921466.7318555483,1209605.16384065,casualties,russia
2025-08-13,1266,1054061.1772722122,1007264.9417537259,1103031.60658762,919950.8375103957,1207722.1204286641,casualties,russia
2025-08-12,1265,1052446.6315436037,1005874.1967991373,1101175.4905447492,918503.6459197546,1205922.1812669414,casualties,russia
2025-08-11,1264,1050852.1726339492,1004498.92757274,1099344.5143174434,917073.7621485543,1204145.5534323566,casualties,russia
2025-08-10,1263,1049373.5665630384,1003223.3023937161,1097646.9205419698,915747.6005368291,1202498.2489854214,casualties,russia
2025-08-09,1262,1048035.2845625781,1002079.3140359266,1096098.9002738737,914550.3760226035,1201003.238202547,casualties,russia
2025-08-08,1261,1046650.5587963413,1000883.7921602955,1094510.1395567695,913307.935826001,1199461.1641157689,casualties,russia
2025-08-07,1260,1045244.0197700269,999652.8920838922,1092914.4733509254,912040.8936150816,1197901.4087771086,casualties,russia
2025-08-06,1259,1043810.4467606086,998383.8621755453,1091303.9867298238,910745.108533172,1196317.4451530126,casualties,russia
2025-08-05,1258,1042400.0824046455,997123.1545448062,1089732.9556594007,909466.6073597771,1194763.982154013,casualties,russia
2025-08-04,1257,1041095.889575143,995956.6825798071,1088280.9425129448,908284.0977408519,1193327.7981937858,casualties,russia
2025-08-03,1256,1039889.278646232,994880.6835517522,1086934.0911074404,907190.9949325013,1191997.8566778125,casualties,russia
2025-08-02,1255,1038734.6802707245,993840.067812212,1085657.3273996557,906141.7328561287,1190729.556445365,casualties,russia
2025-08-01,1254,1037630.0722651691,992839.766109754,1084441.0333704469,905136.4885417788,1189518.0311026685,casualties,russia
2025-07-31,1253,1036566.0249048709,991881.4307654529,1083263.6899673727,904169.6911893443,1188348.980656679,casualties,russia
