Date,Estimate based on probate data,ED_high,ED_low,Flash estimate (by date of discovery),ED_prediction_high,ED_prediction_low,Number of confirmed deaths (by date of death)
15/07/2024,1838.518128,1987.699384,1712.69028,,,,904
22/07/2024,1850.046103,1999.217351,1723.994552,,,,971
29/07/2024,1771.674539,1915.193442,1650.513347,,,,900
05/08/2024,1963.39853,2121.479996,1829.779576,,,,1136
12/08/2024,1910.695985,2056.123966,1786.567234,,,,1035
19/08/2024,1784.067821,1930.281554,1660.954662,,,,974
26/08/2024,1790.269124,1930.720061,1671.102478,,,,1028
02/09/2024,1689.26449,1827.611987,1572.826244,,,,927
09/09/2024,1779.256621,1928.976939,1653.791405,,,,996
16/09/2024,1730.596669,1866.784195,1615.200385,,,,980
23/09/2024,1910.623398,2058.557226,1784.806216,,,,1065
30/09/2024,1727.779673,1868.252987,1609.325605,,,,1059
07/10/2024,1812.749057,1960.654846,1688.327675,,,,1008
14/10/2024,2031.028491,2197.263199,1890.585411,,,,1015
21/10/2024,2057.695121,2223.597425,1917.46427,,,,992
28/10/2024,1628.689191,1761.362907,1516.68227,,,,1034
04/11/2024,2002.995923,2164.77576,1866.40353,,,,991
11/11/2024,2752.598351,2982.463039,2559.31994,,,,1085
18/11/2024,2474.682206,2670.713972,2308.802719,,,,1130
25/11/2024,,,,2569.293555,2775.597841,2394.920389,1129
02/12/2024,,,,2365.740583,2556.222277,2204.780977,1076
09/12/2024,,,,2430.578872,2626.657149,2264.987698,1003
16/12/2024,,,,2281.25122,2465.328868,2125.828771,1002
23/12/2024,,,,2126.220716,2296.63446,1982.171539,969
30/12/2024,,,,1954.709482,2111.704359,1822.065899,759
06/01/2025,,,,1918.002031,2072.084776,1787.816252,748
13/01/2025,,,,1902.441975,2055.050375,1773.415106,800
20/01/2025,,,,2087.173925,2255.108576,1945.345729,889
27/01/2025,,,,2241.321485,2422.52657,2088.414766,820
03/02/2025,,,,2509.576216,2713.596715,2337.568971,714
10/02/2025,,,,2438.278403,2636.441003,2271.23179,783
17/02/2025,,,,2336.935271,2527.145555,2176.613208,768
24/02/2025,,,,2332.050165,2522.96953,2171.243605,842
03/03/2025,,,,2284.481479,2472.529216,2126.221273,656
10/03/2025,,,,2037.552525,2206.204189,1895.780825,699
17/03/2025,,,,2058.969871,2229.311862,1915.782256,667
24/03/2025,,,,2035.50858,2203.827399,1894.056274,653
31/03/2025,,,,1935.727097,2095.808542,1801.243486,593
07/04/2025,,,,1910.29339,2066.163369,1779.045571,447
14/04/2025,,,,1703.903234,1841.547913,1587.799064,449
21/04/2025,,,,1596.603748,1725.233559,1488.057134,406
28/04/2025,,,,1535.526195,1659.883129,1430.678442,315
05/05/2025,,,,1471.689365,1589.387294,1372.210719,322
12/05/2025,,,,1300.340436,1404.225883,1212.547739,298
19/05/2025,,,,1299.249261,1403.930324,1210.896351,270
26/05/2025,,,,1729.040066,1873.204556,1608.086613,236
02/06/2025,,,,1682.425416,1822.301457,1565.027612,192
09/06/2025,,,,1709.521416,1851.177198,1590.527634,219
16/06/2025,,,,1629.703922,1765.943267,1515.427179,211
23/06/2025,,,,1667.103146,1806.595687,1550.122069,189
30/06/2025,,,,1284.298362,1388.33293,1196.50656,193
07/07/2025,,,,1288.588625,1392.924072,1200.510684,185
14/07/2025,,,,1119.504135,1211.376785,1042.122438,160
21/07/2025,,,,1041.403659,1126.618654,969.5893964,144
28/07/2025,,,,881.4469286,953.0316483,821.0200496,91
04/08/2025,,,,633.2292423,684.3389409,590.0573521,47
11/08/2025,,,,379.9535492,410.1597092,354.3578493,22
,,,,,,,
