date,estimate_low,estimate_high,estimate,type,source,source_url,country,"ignore for chart, data from warring parties"
15/10/2024,600000,700000,,casualties,NATO nations (via NYT),https://www.nytimes.com/2024/11/19/world/europe/russia-troops-losses-ukraine.html,russia,
01/11/2024,,,688778,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
19/11/2024,700000,,,casualties,UK Ministry of Defence,https://ukdefencejournal.org.uk/russia-hits-700000-casualties-in-ukraine-says-britain/,russia,
19/11/2024,,200000,,deaths,Western intelligence agencies (via WSJ),https://www.wsj.com/world/one-million-are-now-dead-or-injured-in-the-russia-ukraine-war-b09d04e5,russia,
19/11/2024,,,600000,casualties,Western intelligence agencies (via WSJ),https://www.wsj.com/world/one-million-are-now-dead-or-injured-in-the-russia-ukraine-war-b09d04e5,russia,
22/11/2024,60435,,,deaths,UAlosses,https://ualosses.org/en/soldiers/,ukraine,
01/12/2024,100000,,,deaths,Lostarmour,https://www.nytimes.com/2025/01/23/world/europe/ukraine-russia-soldiers-loss.html,ukraine,
01/12/2024,,,734468,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
04/12/2024,70000,,,deaths,Yurii Butosov,https://www.nytimes.com/2025/01/23/world/europe/ukraine-russia-soldiers-loss.html,ukraine,
07/12/2024,"700,000",,,casualties,US DoD,https://www.msn.com/en-us/news/world/russia-has-spent-200-billion-on-full-scale-war-in-ukraine-suffered-700-000-casualties-austin-says/ar-AA1vwpju,russia,
01/01/2025,,,783138,casualties,UK MoD,https://x.com/DefenceHQ/status/1876584633103507960/photo/2,russia,
01/01/2025,172000,,,deaths,IISS,https://www.iiss.org/online-analysis/military-balance/2025/02/combat-losses-and-manpower-challenges-underscore-the-importance-of-mass-in-ukraine/,russia,
01/01/2025,,,783000,casualties,IISS,https://www.iiss.org/online-analysis/military-balance/2025/02/combat-losses-and-manpower-challenges-underscore-the-importance-of-mass-in-ukraine/,russia,
05/02/2025,115000,,,deaths,Norwegian Defense Intelligence,https://www.etterretningstjenesten.no/publikasjoner/fokus/fokus2025_innhold,russia,
05/02/2025,600000,,,casualties,Norwegian Defense Intelligence,https://www.etterretningstjenesten.no/publikasjoner/fokus/fokus2025_innhold,russia,
21/02/2025,146194,211169,,deaths,BBC Russia,https://www.bbc.com/russian/articles/cgq98nyvq9no,russia,
24/02/2025,160000,165000,,deaths,Mediazona; Meduza,https://meduza.io/en/feature/2025/02/24/three-years-of-death,russia,
25/02/2025,65321,121319,,deaths,UAlosses,https://ualosses.org/en/soldiers/,ukraine,
20/03/2025,200000,250000,,deaths,UK MoD,https://x.com/DefenceHQ/status/1902662502334259284,russia,
20/03/2025,,,900000,casualties,UK MoD,https://x.com/DefenceHQ/status/1902662502334259284,russia,
03/04/2025,,,790000,casualties,US DoD,https://www.armed-services.senate.gov/imo/media/doc/general_cavoli_opening_statements.pdf,russia,
